Date,Close/Last,Volume,Open,High,Low
12/16/2022,$87.86,146144100,$88.265,$89.35,$86.73
12/15/2022,$88.45,84802880,$89.89,$89.97,$87.47
12/14/2022,$91.58,70298010,$92.502,$93.4581,$89.87
12/13/2022,$92.49,100212000,$95.23,$96.25,$90.52
12/12/2022,$90.55,61999760,$89.21,$90.58,$87.87
12/09/2022,$89.09,67398510,$88.9,$90.3,$88.63
12/08/2022,$90.35,73305890,$89.24,$90.86,$87.88
12/07/2022,$88.46,68086880,$88.34,$89.89,$87.48
12/06/2022,$88.25,75503630,$90.5,$91.04,$87.9
12/05/2022,$91.01,71535530,$93.05,$94.06,$90.82
12/02/2022,$94.13,72496390,$94.475,$95.36,$93.78
12/01/2022,$95.5,68487970,$96.99,$97.23,$94.92
11/30/2022,$96.54,102805800,$92.47,$96.54,$91.525
11/29/2022,$92.42,65567290,$94.04,$94.41,$91.44
11/28/2022,$93.95,75062320,$93.93,$96.4,$93.43
11/25/2022,$93.41,35088610,$93.79,$94.43,$93.065
11/23/2022,$94.13,59414680,$93.24,$94.58,$92.83
11/22/2022,$93.2,62191960,$92.62,$93.35,$90.87
11/21/2022,$92.46,84330270,$93.97,$95.02,$90.59
11/18/2022,$94.14,72428190,$95.95,$95.99,$92.48
11/17/2022,$94.85,82617870,$95.37,$96.97,$94.03
11/16/2022,$97.12,87958830,$96.85,$98.4879,$95.54
11/15/2022,$98.94,111336300,$103.21,$103.79,$97.34
11/14/2022,$98.49,99533070,$98.77,$100.1199,$97.29
11/11/2022,$100.79,111590500,$97.88,$101.19,$96.66
11/10/2022,$96.63,173414900,$92.935,$98.69,$91.65
11/09/2022,$86.14,90796250,$89.47,$89.48,$85.87
11/08/2022,$89.98,88703370,$90.79,$91.72,$88.23
11/07/2022,$90.53,77495730,$91.95,$92.1,$89.04
11/04/2022,$90.98,129101300,$91.49,$92.44,$88.04
11/03/2022,$89.3,136683300,$92.47,$93.5,$89.02
11/02/2022,$92.12,135761800,$97.315,$97.74,$92.01
11/01/2022,$96.79,153370000,$103.99,$104.58,$96.06
10/31/2022,$102.44,99251400,$103.56,$104.87,$100.74
10/28/2022,$103.41,223133400,$97.905,$103.96,$97.66
10/27/2022,$110.96,129605400,$113.92,$114.12,$109.77
10/26/2022,$115.66,69002460,$116,$119.3457,$114.76
10/25/2022,$120.6,50934610,$119.65,$121.3152,$118.95
10/24/2022,$119.82,49531520,$119.98,$120.39,$116.57
10/21/2022,$119.32,55660490,$114.792,$119.59,$114.5
10/20/2022,$115.25,48795100,$113.83,$118.24,$113.51
10/19/2022,$115.07,47198120,$114.71,$116.5932,$113.22
10/18/2022,$116.36,65607450,$119.06,$119.52,$114.79
10/17/2022,$113.79,62781990,$110.11,$114.19,$110.09
10/14/2022,$106.9,67737340,$114.1,$114.96,$106.6
10/13/2022,$112.53,86868100,$107.88,$113.44,$105.345
10/12/2022,$112.9,45728660,$112.49,$113.83,$111.4
10/11/2022,$112.21,56432230,$112.71,$115.48,$110.39
10/10/2022,$113.67,42339680,$115.1,$116.25,$112.43
10/07/2022,$114.56,54677980,$118,$118.17,$113.88
10/06/2022,$120.3,42253760,$120.77,$121.53,$119.5
10/05/2022,$120.95,48217540,$118.58,$121.75,$117.69
10/04/2022,$121.09,62812560,$119.89,$123,$119.79
10/03/2022,$115.88,50941850,$113.58,$116.91,$112.45
09/30/2022,$113,59479590,$114.075,$116.92,$112.84
09/29/2022,$114.8,58969710,$115.6,$116.07,$113.06
09/28/2022,$118.01,55763750,$114.38,$118.7,$113.8
09/27/2022,$114.41,60094690,$117.195,$118.32,$113.05
09/26/2022,$115.15,62723270,$113.295,$117.34,$113.13
09/23/2022,$113.78,65126670,$116,$116.05,$112.06
09/22/2022,$117.31,55229190,$117.08,$118.79,$116.26
09/21/2022,$118.54,58498890,$122.49,$123.76,$118.45
09/20/2022,$122.19,47698430,$123.35,$124.3963,$121.14
09/19/2022,$124.66,47279730,$122.16,$124.71,$121.8
09/16/2022,$123.53,115667800,$122.78,$123.87,$120.7
09/15/2022,$126.28,52887200,$127.38,$130.37,$125.495
09/14/2022,$128.55,45316770,$127.364,$128.84,$126.33
09/13/2022,$126.82,72694010,$131.01,$131.4,$126.27
09/12/2022,$136.45,53826860,$134.095,$136.49,$134
09/09/2022,$133.27,49422260,$130.91,$133.69,$130.76
09/08/2022,$129.82,43988510,$127.72,$130.28,$127.1
09/07/2022,$129.48,47834490,$126.12,$129.82,$125.4
09/06/2022,$126.11,43888590,$127.92,$128.62,$124.74
09/02/2022,$127.51,57429830,$129.5,$131.38,$126.39
09/01/2022,$127.82,56636150,$126,$128.02,$123.66
08/31/2022,$126.77,53648700,$129.45,$130.59,$126.74
08/30/2022,$128.73,49202990,$131.25,$132.0745,$126.85
08/29/2022,$129.79,48101640,$129.9,$131.9499,$128.77
08/26/2022,$130.75,53322660,$136.55,$137.83,$130.5
08/25/2022,$137.28,37496280,$135.26,$137.42,$134.28
08/24/2022,$133.8,38626980,$132.75,$135.47,$132.1
08/23/2022,$133.62,36252100,$133.41,$134.99,$132.95
08/22/2022,$133.22,50461500,$135.72,$136.32,$132.85
08/19/2022,$138.23,47792840,$140.47,$141.11,$137.9142
08/18/2022,$142.3,37458740,$141.32,$142.77,$140.38
08/17/2022,$142.1,48149780,$142.69,$143.38,$140.78
08/16/2022,$144.78,59102860,$143.905,$146.57,$142
08/15/2022,$143.18,39014580,$142.8,$143.76,$141.49
08/12/2022,$143.55,47643480,$142.05,$143.57,$140.1201
08/11/2022,$140.64,44867340,$143.86,$144.49,$139.76
08/10/2022,$142.69,54773820,$142.9,$144.6,$141.01
08/09/2022,$137.83,40434720,$138.052,$138.9523,$136.21
08/08/2022,$139.41,52303480,$142.05,$144.23,$138.29
08/05/2022,$140.8,50686870,$140.1,$142.86,$139.6
08/04/2022,$142.57,70585020,$140.58,$143.56,$139.55
08/03/2022,$139.52,71827780,$136.21,$140.49,$136.05
08/02/2022,$134.16,61922430,$134.72,$137.44,$134.09
08/01/2022,$135.39,76846910,$134.96,$138.8339,$133.51
07/29/2022,$134.95,148892900,$134.9,$137.65,$132.41
07/28/2022,$122.28,82245540,$121.57,$122.84,$118.08
07/27/2022,$120.97,61582020,$117.31,$121.9,$117.16
07/26/2022,$114.81,67075060,$115.79,$118.15,$114.53
07/25/2022,$121.14,50221260,$122.695,$123.64,$120.03
07/22/2022,$122.42,51463800,$125.01,$125.5,$121.3504
07/21/2022,$124.63,60239890,$123.2,$124.85,$121.26
07/20/2022,$122.77,71268320,$118.615,$123.475,$118.32
07/19/2022,$118.21,60990040,$115.7,$118.95,$114.03
07/18/2022,$113.76,59115420,$115,$117.24,$113.15
07/15/2022,$113.55,84317820,$112.5,$115.59,$111.59
07/14/2022,$110.63,51163140,$110.24,$111.18,$107.58
07/13/2022,$110.4,61353810,$107.03,$111.78,$106.01
07/12/2022,$109.22,54280260,$112.16,$113.23,$108.34
07/11/2022,$111.75,53540020,$114.08,$114.3,$110.87
07/08/2022,$115.54,45719690,$114.6,$116.58,$113.69
07/07/2022,$116.33,57872320,$113.85,$116.99,$113.49
07/06/2022,$114.33,66958880,$113.21,$115.48,$112.01
07/05/2022,$113.5,76684410,$107.6,$114.08,$106.3242
