Date,Close/Last,Volume,Open,High,Low
12/16/2022,$119.43,67064000,$120.23,$123.31,$118.8214
12/15/2022,$116.15,34530970,$118.33,$118.625,$114.01
12/14/2022,$121.59,36922040,$119.39,$124.14,$119.39
12/13/2022,$120.15,44701050,$122.13,$123.3,$118.64
12/12/2022,$114.71,24747060,$115.18,$115.72,$113.14
12/09/2022,$115.9,26033350,$115.3,$117.54,$113.87
12/08/2022,$115.33,30619420,$116.39,$117.34,$114.59
12/07/2022,$113.93,29461140,$113.76,$115.88,$112.88
12/06/2022,$114.12,43689180,$119.91,$120.55,$113.74
12/05/2022,$122.43,35474880,$121.75,$124.67,$121.35
12/02/2022,$123.49,39950460,$117.83,$124.04,$117.61
12/01/2022,$120.44,36551370,$119.198,$121.2,$118.4
11/30/2022,$118.1,43348560,$109.505,$118.16,$109.38
11/29/2022,$109.46,23899240,$109.54,$110.94,$108.5437
11/28/2022,$108.78,23332820,$110.78,$112.04,$108.38
11/25/2022,$111.41,12007570,$111.3,$112.73,$111.02
11/23/2022,$112.24,21343080,$111.72,$112.67,$110.73
11/22/2022,$111.44,29028960,$109.86,$111.62,$108.3216
11/21/2022,$109.86,24351070,$111.52,$112.3699,$109.19
11/18/2022,$112.05,33357710,$113.8,$114.32,$110.62
11/17/2022,$111.45,35093820,$110.41,$112.33,$109.8
11/16/2022,$113.23,33287770,$114.5,$116.075,$112.66
11/15/2022,$117.08,50670500,$116.07,$118.74,$114.4116
11/14/2022,$114.22,53394970,$110.99,$116.27,$110.8
11/11/2022,$113.02,59961740,$109.23,$114.9,$108.81
11/10/2022,$111.87,80670960,$107.12,$112.75,$104.61
11/09/2022,$101.47,107677300,$101.72,$104.9,$100.74
11/08/2022,$96.47,52088320,$95.92,$97.8,$94.79
11/07/2022,$96.72,81987300,$94.78,$96.88,$93.1
11/04/2022,$90.79,55638060,$90.35,$91.39,$88.09
11/03/2022,$88.91,60664010,$90.08,$90.4576,$88.41
11/02/2022,$90.54,71821060,$94.205,$95.2,$90.48
11/01/2022,$95.2,110189600,$94.33,$97.49,$93.55
10/31/2022,$93.16,121361400,$98.22,$99.32,$92.6
10/28/2022,$99.2,95928310,$99.58,$100.85,$97.51
10/27/2022,$97.94,232316600,$97.975,$102.5,$96.38
10/26/2022,$129.82,89294680,$131.68,$135.55,$128.53
10/25/2022,$137.51,38433220,$130.875,$138.35,$130.59
10/24/2022,$129.72,63563450,$127.25,$133.48,$124.57
10/21/2022,$130.01,46348650,$126.31,$130.12,$125.44
10/20/2022,$131.53,26356280,$132.93,$136.77,$131.31
10/19/2022,$133.23,30691050,$132.89,$137,$132.22
10/18/2022,$132.8,25444980,$137.085,$137.8399,$131.4
10/17/2022,$134.04,29612250,$130.3,$134.79,$130.18
10/14/2022,$126.76,23559410,$131,$131.79,$126.52
10/13/2022,$130.29,34325720,$123.53,$131.14,$122.5301
10/12/2022,$127.5,34605250,$128.32,$129.67,$126.25
10/11/2022,$128.54,38481400,$131.62,$132.66,$126.99
10/10/2022,$133.79,24023980,$133.55,$136.11,$131.87
10/07/2022,$133.45,33214770,$136.76,$138.29,$132.44
10/06/2022,$139.07,36231060,$137.715,$141.45,$136.6
10/05/2022,$138.98,27979350,$138.24,$140.21,$134.78
10/04/2022,$140.28,34670730,$140.49,$142.3901,$139.34
10/03/2022,$138.61,27723060,$137.14,$139.62,$136.1
09/30/2022,$135.68,33166390,$136.05,$140.99,$135.5
09/29/2022,$136.41,38985410,$139.36,$139.84,$135.2
09/28/2022,$141.61,32658480,$134.62,$142.03,$134.27
09/27/2022,$134.4,30826470,$137.92,$139.42,$134.1201
